source_line,unix_time,monotonic,group_sequence_le,fragment_le,att_value_hex
543,1789484857.6132803,46758.445207,158,0,9e00000076d9e3c1b47d747194a0146d891b04a5
544,1789484857.6139636,46758.4458903,158,1,9e000100546372e4e6475042bbc65a05db3ab748
545,1789484857.6147192,46758.4466461,158,2,9e0002004d0b98760bcde9fb07009e00db3ab748
546,1789484857.63355,46758.4654767,159,0,9f0000003adde60496a7139260621a55dcea2231
547,1789484857.6340384,46758.4659655,159,1,9f00010043ce76047c252365a56fa9a88fd9c1ae
548,1789484857.6347365,46758.4666634,159,2,9f00020021d983d1a5fa615f10009f008fd9c1ae
549,1789484857.6532917,46758.4852186,160,0,a000000046bf7f6160f7044d99143df7d93ddb39
550,1789484857.6539578,46758.4858848,160,1,a00001005a15b34042cfb802213351eac2c9843f
551,1789484857.65475,46758.486677,160,2,a0000200785eb01d043be9fb0200a000c2c9843f
552,1789484857.673289,46758.5052157,161,0,a100000056b8846db3791e6e6e8f335757fbdcde
553,1789484857.6739922,46758.505919,161,1,a1000100d91574fe889cf4e1a2d1905cd6038627
554,1789484857.6748865,46758.506813,161,2,a10002003f26c55ac61bc7190100a100d6038627
556,1789484857.6932695,46758.5251962,162,0,a2000000c5a8983651dfde334e940d0f3392cd30
557,1789484857.6939423,46758.525869,162,1,a20001002fc627fb7794ec83a50109da05008f50
558,1789484857.6947093,46758.526636,162,2,a2000200243b0882bf96b9e70000a20005008f50
559,1789484857.713302,46758.5452287,163,0,a30000008e9ee4b02421ba5d5f268f63af752920
560,1789484857.713983,46758.5459097,163,1,a3000100f70cf37b13ad4017c4c043c896573b01
561,1789484857.714725,46758.5466518,163,2,a30002003f50b6d19c1be9230000a30096573b01
562,1789484857.733275,46758.5652016,164,0,a4000000da8de2ccae74bcd473b65f9c47e60c98
563,1789484857.7339602,46758.5658869,164,1,a4000100d03107fb24cc256efc1a0e7c2ecf4d8b
564,1789484857.7347293,46758.5666561,164,2,a4000200e6c87a65262ee9660000a4002ecf4d8b
565,1789484857.753294,46758.5852208,165,0,a50000007a852c084d3eb8987387e5b831e87e48
566,1789484857.7539465,46758.5858732,165,1,a5000100b51e42411d439ccf95a15d380240bef3
567,1789484857.7547395,46758.5866663,165,2,a5000200f68c11121f71c1090000a5000240bef3
568,1789484857.7732842,46758.6052108,166,0,a60000005a74e2044d1e99bfa3ad6393843813d8
569,1789484857.7739463,46758.6058731,166,1,a6000100232740e0aa2e00d4b415148fc61b77f8
570,1789484857.7747025,46758.6066292,166,2,a6000200c667bc663e2a39670000a600c61b77f8
571,1789484857.7932858,46758.6252127,167,0,a700000027746ee0474a3dbc33760314da74a6ad
572,1789484857.7939649,46758.6258915,167,1,a70001006f7e3476250c860febcabd09b258cd5e
573,1789484857.7947466,46758.6266735,167,2,a7000200175d9bc4befea92a0000a700b258cd5e
574,1789484857.8133044,46758.6452311,168,0,a80000002774f2e5403c1e8c69a1187564d9de86
