source_line,unix_time,monotonic,group_sequence_le,fragment_le,att_value_hex
62,1789484796.7607818,46697.5927085,1,0,010000003add2ccef31829a79687dd9495a48f10
63,1789484796.761428,46697.5933548,1,1,010001002beab78e748bd3baa9ba250c1e84b637
64,1789484796.7621965,46697.5941234,1,2,010002006942254c2e7ae93b120001001e84b637
65,1789484796.7807286,46697.6126554,2,0,02000000bad5c40e9a35456d125d41cd09415394
66,1789484796.7814379,46697.6133648,2,1,02000100de40321837c3ea7ca2d68655121dd255
67,1789484796.78227,46697.6141968,2,2,02000200271c12e14e7be9fb04000200121dd255
68,1789484796.8007672,46697.632694,3,0,030000002ac7843c04f9e50614082f4f6bfc66f5
69,1789484796.801422,46697.6333488,3,1,03000100fe56de542dd2c78c0465d313d537d0b8
70,1789484796.8022356,46697.6341625,3,2,030002004ec6184662cde9ff01000300d537d0b8
72,1789484796.820767,46697.6526938,4,0,04000000a2b06f21b6fd811d6c79c83bcfe6a91e
73,1789484796.8214295,46697.6533563,4,1,040001001a233d58be270ad02f5d365a5e07a2a6
74,1789484796.8222198,46697.6541466,4,2,040002001d4159dc3ae3e9fb000004005e07a2a6
75,1789484796.8407488,46697.6726755,5,0,05000000dea01b1dd43edaad8708e7ff9c9c4210
76,1789484796.8414278,46697.6733545,5,1,05000100464675710ae3b1e1a11ed7bf83a84644
77,1789484796.8422208,46697.6741476,5,2,0500020036a163585322e9b60000050083a84644
78,1789484796.8607266,46697.6926533,6,0,0600000046a59df88b5ec3200c545fb763164267
79,1789484796.8614252,46697.6933519,6,1,06000100eca2b998bd9cfcec806cee174f8a43b6
80,1789484796.8622181,46697.694145,6,2,06000200c079225055c5834b010006004f8a43b6
81,1789484796.880733,46697.7126597,7,0,07000000b29c024d5ee6d2b3ae128f0e7205d54d
82,1789484796.8814523,46697.7133792,7,1,070001004b3ffea79f438b8aeb159e9152331c84
83,1789484796.8822174,46697.7141444,7,2,07000200861f4fa90277e9fb0000070052331c84
84,1789484796.900751,46697.7326778,8,0,08000000428c3be1da84bbae5ce124809962bc33
85,1789484796.9014149,46697.7333416,8,1,080001006698076a20b100924103bdb06bce765d
86,1789484796.902228,46697.7341549,8,2,0800020091ab7fd5a73be9fb010008006bce765d
87,1789484796.9207327,46697.7526595,9,0,090000000cad527c835d378f028cc00f2049d3d4
88,1789484796.9214323,46697.7533592,9,1,0900010076e9c14d17fc3ae85babb5f92bc5d988
89,1789484796.9222343,46697.7541612,9,2,090002001cd06fa84676e9d9010009002bc5d988
90,1789484796.9407563,46697.7726829,10,0,0a000000579d1d7c194bcdec6a1f4f6a3396d0d2
91,1789484796.9414456,46697.7733724,10,1,0a0001005a22ff8a1d6994eb9bffe448841a8d75
92,1789484796.9422398,46697.7741666,10,2,0a000200b8e267655d4b394400000a00841a8d75
93,1789484796.9607363,46697.7926631,11,0,0b000000d68d3ae29d63379f720e3700fd9959c5
94,1789484796.9614298,46697.7933565,11,1,0b000100712ed31a1082c10598279dbdb2ab7826
95,1789484796.962243,46697.7941699,11,2,0b00020097ce3496583a49a700000b00b2ab7826
96,1789484796.980757,46697.8126836,12,0,0c0000002f7d3035249632d0a5cb7c18646fe8a1
97,1789484796.981443,46697.8133696,12,1,0c000100fc5596646ead7275dae51112de53c78a
98,1789484796.982224,46697.8141508,12,2,0c000200fa2fc3853d12492000000c00de53c78a
99,1789484797.0007875,46697.8327141,13,0,0d000000b76c7ffd1920f24bb4e124e10f6aff25
100,1789484797.0014427,46697.8333693,13,1,0d00010086cc1b42a0784c6f61f6f30d8804207f
101,1789484797.0022461,46697.834173,13,2,0d000200a21971ce4208199c00000d008804207f
102,1789484797.02074,46697.852667,14,0,0e000000c67d7f2292644b1de7d58f206b1803de
103,1789484797.0214329,46697.8533596,14,1,0e000100b20b13cc4b35827e002c8a1106958211
104,1789484797.0222285,46697.8541552,14,2,0e0002009d1371a43d36092300000e0006958211
105,1789484797.0407443,46697.8726711,15,0,0f00000026740b6106677d38a3590f0cbf876617
106,1789484797.0414417,46697.8733687,15,1,0f000100341cd6245ca38fd104555f654fdb516b
107,1789484797.0422285,46697.8741554,15,2,0f00020090794338bb3b49b000000f004fdb516b
108,1789484797.0607564,46697.8926832,16,0,10000000db6c2c505e42e23169c1e1ad7b2660a9
109,1789484797.061442,46697.8933686,16,1,10000100f6b794011d6eb24649346f531d5236eb
110,1789484797.0622478,46697.8941745,16,2,10000200fa8c9befa378e9fb000010001d5236eb
111,1789484797.0807424,46697.9126691,17,0,110000005674040d8957cb0042e2107d59b60479
112,1789484797.0814605,46697.9133872,17,1,11000100b549b27436c391e704ba1d9c8bcf3974
113,1789484797.082226,46697.9141526,17,2,110002001c00255f5819e9f5000011008bcf3974
114,1789484797.100758,46697.9326847,18,0,120000004462abe9f8b444c032d7b576b4de3754
115,1789484797.1014216,46697.9333483,18,1,1200010093d72acc700485b71cae1ee1f75bd63c
116,1789484797.1022289,46697.9341557,18,2,12000200060ce6908a0e0db900001200f75bd63c
117,1789484797.120785,46697.9527116,19,0,13000000de6c3246738579dfeca0b62822a096c7
118,1789484797.1214387,46697.9533656,19,1,130001002e946b8be8a048b6af668fa8008cf058
119,1789484797.12223,46697.9541568,19,2,130002005a012352003b21e600001300008cf058
120,1789484797.1407316,46697.9726585,20,0,14000000ae642c483a44bbb8912ecf0d1fd00e76
121,1789484797.1414309,46697.9733575,20,1,1400010001f2cb2cb3d64ce608c57818400d7ca9
122,1789484797.1422503,46697.9741771,20,2,140002009be98a2a001ce94f00001400400d7ca9
123,1789484797.1607602,46697.9926867,21,0,15000000da6c2c08d6168ea117d0021b43c7bbb0
124,1789484797.1614559,46697.9933826,21,1,1500010004381b3a77b2b04418f28b99f7dd74de
125,1789484797.1622255,46697.9941522,21,2,15000200ef34508da37e495100001500f7dd74de
126,1789484797.1808083,46698.0127351,22,0,160000009662c4082634458aafe994ab686eacc5
127,1789484797.1814404,46698.0133669,22,1,160001004ad1778d48541a245ed66bd8dd5c3a80
128,1789484797.182244,46698.0141709,22,2,16000200120542277a1adda900001600dd5c3a80
129,1789484797.2007434,46698.0326702,23,0,1700000086635e100fcea6cd64b8cbadc001821e
130,1789484797.2014537,46698.0333803,23,1,17000100821dac575c4c21079ada3b2c5d35b84c
131,1789484797.2022321,46698.0341589,23,2,17000200ddf6a2de1af4e98b000017005d35b84c
132,1789484797.2207904,46698.0527171,24,0,18000000d76be7cc9fc0f4f9ed4714b622a6e481
133,1789484797.221442,46698.0533688,24,1,18000100f44d58084b1063ec293a38d56961a9b8
134,1789484797.2222157,46698.0541424,24,2,180002005387ef835ecba9b3000018006961a9b8
135,1789484797.240741,46698.0726677,25,0,190000008f63829514235d8f0c893ee59426e715
136,1789484797.2414563,46698.0733831,25,1,190001000605c080b2c2a90c08d37780f69c3d94
137,1789484797.242239,46698.0741657,25,2,19000200b21a2e507431e9fb00001900f69c3d94
